Accepted Symbol,Synonym Symbol,Scientific Name,Hybrid Genus Indicator,Genus,Hybrid Species Indicator,Species,Subspecies Prefix,Hybrid Subspecies Indicator,Subspecies,Variety Prefix,Hybrid Variety Indicator,Variety,Subvariety Prefix,Subvariety,Forma Prefix,Forma,Genera/Binomial Author,Trinomial Author,Quadranomial Author,Questionable Taxon Indicator,Parents,Genus,Family,Family Symbol,Kingdom
ABAU3,,Abroma augustum,,Abroma,,augustum,,,,,,,,,,,(L.) L. f.,,,,,Abroma,Sterculiaceae,STERCU,Plantae
ABAU3,ABAU2,Abroma augusta,,Abroma,,augusta,,,,,,,,,,,"(L.) L. f., orth. var.",,,,,Abroma,,,
ABAU3,AMAU4,Ambroma augusta,,Ambroma,,augusta,,,,,,,,,,,"(L.) L. f., orth. var.",,,,,Ambroma,,,
ABAU3,AMAU5,Ambroma augustum,,Ambroma,,augustum,,,,,,,,,,,"(L.) L. f., orth. var.",,,,,Ambroma,,,
ABRON,,Abronia,,Abronia,,,,,,,,,,,,,Juss.,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABAL,,Abronia alpina,,Abronia,,alpina,,,,,,,,,,,Brandegee,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABAM2,,Abronia ameliae,,Abronia,,ameliae,,,,,,,,,,,Lundell,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABAM3,,Abronia ammophila,,Abronia,,ammophila,,,,,,,,,,,Greene,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABAM3,ABFE,Abronia fendleri,,Abronia,,fendleri,,,,,,,,,,,Standl.,,,,,Abronia,,,
ABAN,,Abronia angustifolia,,Abronia,,angustifolia,,,,,,,,,,,Greene,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABAN,ABANA,Abronia angustifolia var. arizonica,,Abronia,,angustifolia,,,,var.,,arizonica,,,,,Greene,(Standl.) Kearney & Peebles,,,,Abronia,,,
ABAN,ABTO,Abronia torreyi,,Abronia,,torreyi,,,,,,,,,,,Standl.,,,,,Abronia,,,
ABAR,,Abronia argillosa,,Abronia,,argillosa,,,,,,,,,,,S.L. Welsh & Goodrich,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABBI,,Abronia bigelovii,,Abronia,,bigelovii,,,,,,,,,,,Heimerl,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABBO,,Abronia bolackii,,Abronia,,bolackii,,,,,,,,,,,"N.D. Atwood, S.L. Welsh & K.D. Heil",,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABCA,,Abronia carletonii,,Abronia,,carletonii,,,,,,,,,,,J.M. Coult. & Fisher,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABEL,,Abronia elliptica,,Abronia,,elliptica,,,,,,,,,,,A. Nelson,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABEL,ABFRE2,Abronia fragrans var. elliptica,,Abronia,,fragrans,,,,var.,,elliptica,,,,,Nutt. ex Hook.,(A. Nelson) M.E. Jones,,,,Abronia,,,
ABEL,ABPU2,Abronia pumila,,Abronia,,pumila,,,,,,,,,,,Rydb.,,,,,Abronia,,,
ABEL,ABRA,Abronia ramosa,,Abronia,,ramosa,,,,,,,,,,,Standl.,,,,,Abronia,,,
ABEL,ABSA3,Abronia salsa,,Abronia,,salsa,,,,,,,,,,,Rydb.,,,,,Abronia,,,
ABFR2,,Abronia fragrans,,Abronia,,fragrans,,,,,,,,,,,Nutt. ex Hook.,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABFR2,ABFRG2,Abronia fragrans var. glaucescens,,Abronia,,fragrans,,,,var.,,glaucescens,,,,,Nutt. ex Hook.,A. Nelson,,,,Abronia,,,
ABGR2,,Abronia gracilis,,Abronia,,gracilis,,,,,,,,,,,Benth.,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABIN2,,Abronia insularis,,Abronia,,insularis,,,,,,,,,,,Standl.,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABLA2,,Abronia latifolia,,Abronia,,latifolia,,,,,,,,,,,Eschsch.,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABMA5,,Abronia macrocarpa,,Abronia,,macrocarpa,,,,,,,,,,,L.A. Galloway,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABMA2,,Abronia maritima,,Abronia,,maritima,,,,,,,,,,,Nutt. ex S. Watson,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABME,,Abronia mellifera,,Abronia,,mellifera,,,,,,,,,,,Douglas ex Hook.,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABMI2,,Abronia minor,,Abronia,,minor,,,,,,,,,,,Standl.,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABNA,,Abronia nana,,Abronia,,nana,,,,,,,,,,,S. Watson,,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABNAC,,Abronia nana var. covillei,,Abronia,,nana,,,,var.,,covillei,,,,,S. Watson,(Heimerl) Munz,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABNAC,ABNAC2,Abronia nana ssp. covillei,,Abronia,,nana,ssp.,,covillei,,,,,,,,S. Watson,(Heimerl) Munz,,,,Abronia,,,
ABNAH,,Abronia nana var. harrisii,,Abronia,,nana,,,,var.,,harrisii,,,,,S. Watson,S.L. Welsh,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
ABNAN,,Abronia nana var. nana,,Abronia,,nana,,,,var.,,nana,,,,,S. Watson,S. Watson,,,,Abronia,Nyctaginaceae,NYCTAG,Plantae
