taxonID	creator	date	title	description	identifier	type
22361584	Cunn. ex Benth.	1842		In: London J. Bot. 1: 345 (1842)		taxon
22361585	Maiden & Blakely	1927		In: J. & Proc. Roy. Soc. New South Wales 60: 183, pl. 16, figs 1--7 (1927)		taxon
22361586	Merr.	1910		In: Phillip. J. Sci. (Bot.) 5: 27 (1910)		taxon
22361587	Maslin	1999		In: Nuytsia 12(3): 338 (1999)		taxon
22361588		1999		In: Nuytsia 12(3): 337 (1999)		taxon
22361589	Maslin	1999		In: Nuytsia 12(3): 338 (1999)		taxon
22361590	F.Muell.	1879		In: Fragm. 11: 68 (1879)		taxon
22361591	Maslin	1985		In: Nuytsia 5: 323 (1985)		taxon
22361592	Cowan & Maslin	1995		In: Nuytsia 10: 243 (1995)		taxon
22361593	Cowan & Maslin	1990		In: Nuytsia 7: 189, figs 1G--I (1990)		taxon
22361594	F.Muell.	1859		In: J. Linn. Soc., Bot. 3: 140 (1859)		taxon
22361595	Tind.	1980		In: Telopea 1: 429, pl. 18 (1980)		taxon
22361597	Benth.	1864		In: Fl. Austral. 2: 322 (1864)		taxon
22361598	Pedley	1999		In: Austrobaileya 5(2): 312 (1999)		taxon
22361600		1993		In: Nuytsia 9(1): 85 (1993)		taxon
22361601	Cowan & Maslin	1993		In: Nuytsia 9: 86 (1993)		taxon
22361603	Benth.	1842		In: London J. Bot. 1: 339 (1842)		taxon
22361604	Tind.	1980		In: Telopea 1: 441, pl. 23 (1980)		taxon
22361606	Tind. & Herscovitch	1990		In: Telopea 4: 115, figs 1 & 2 (1990)		taxon
22361607	Tind.	1980		In: Telopea 1: 432, pl. 19 (1980)		taxon
22361608	Maslin	1990		In: Nuytsia 7: 226 (1990)		taxon
22361609	Tate	1896		In: Rep. Horn Sci. Exped. pt 3: 157, 187 (1896)		taxon
22361610	Cowan & Maslin	1999		In: Nuytsia 12(3): 476 (1999)		taxon
22361612	F.Muell.	1887		In: Australas. Chem. & Druggist 2: 73 (1887)		taxon
22361613		1978		In: Austrobaileya 1(2): 177 (1978)		taxon
22361614	Pedley	1978		In: Austrobaileya 1: 178 (1978)		taxon
22361615	Cunn. ex Benth.	1842		In: London J. Bot. 1: 379 (1842)		taxon
22361617	Benth.	1842		In: London J. Bot. 1: 326 (1842)		taxon
22361618	H.L.Wendl.	1820		In: Comm. Acac. Aphyll. 5, 31, t. 8 (1820)		taxon
22361619	Maslin	1978		In: Nuytsia 2: 203, figs 2 & 6 (1978)		taxon
22361620	Cowan & Maslin	1999		In: Nuytsia 12(3): 418 (1999)		taxon
22361621	Maslin & Whibley	1987		In: Nuytsia 6: 27, fig. 3 (1987)		taxon
22361622	Pedley	1969		In: Contr. Queensland Herb. 4: 1 (1969)		taxon
22361624	Benth.	1855		In: Linnaea 26: 606 (1855)		taxon
22361625	C.White	1942		In: Proc. Roy. Soc. Queensland 53: 213 (1942)		taxon
22361627	Cunn. ex Don	1832		In: Gen. Hist. 2: 406 (1832), W.J.Hooker, Icon. Pl. 2: t. 170 (1837).		taxon
22361628	Maslin	1995		In: Nuytsia 10: 175 (1995)		taxon
22361629	Maslin	1999		In: Nuytsia 12(3): 339 (1999)		taxon
22361630	Domin	1923		In: Vestn. Kral. Ceske Spolecn. Nauk, Tr. Mat.-Prir. 2: 45 (1923)		taxon
