nameID,parentNameID,scientificName,scientificNameAuthorship,nameRank,nameUri,isHybrid,genus,specificEpithet,rankIndicator,otherEpithet,subclass,family,acceptance,acceptedNameID,NomenclatureStatusID,NomenclatureStatusName,Symbol
100427,40013213,"Geissomeria distans",Nees,species,http://www.tropicos.org/Name/100427,,Geissomeria,distans,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100428,40013213,"Geissomeria macrophylla",Nees,species,http://www.tropicos.org/Name/100428,,Geissomeria,macrophylla,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100429,40013213,"Geissomeria nitida",Nees,species,http://www.tropicos.org/Name/100429,,Geissomeria,nitida,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100430,40013213,"Geissomeria pubescens",Nees,species,http://www.tropicos.org/Name/100430,,Geissomeria,pubescens,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100431,40013213,"Geissomeria schottiana",Nees,species,http://www.tropicos.org/Name/100431,,Geissomeria,schottiana,sp.,,Magnoliidae,Acanthaceae,S,100290225,,"No opinion",
100432,40013213,"Geissomeria tetragona",Lindau,species,http://www.tropicos.org/Name/100432,,Geissomeria,tetragona,sp.,,Magnoliidae,Acanthaceae,S,50337791,,"No opinion",
100433,40013213,"Geissomeria vellosii",,species,http://www.tropicos.org/Name/100433,,Geissomeria,vellosii,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100434,40015019,"Glockeria glabra",Leonard,species,http://www.tropicos.org/Name/100434,,Glockeria,glabra,sp.,,Magnoliidae,Acanthaceae,S,50109019,,"No opinion",
100435,40015019,"Glockeria gracilis",Nees,species,http://www.tropicos.org/Name/100435,,Glockeria,gracilis,sp.,,Magnoliidae,Acanthaceae,,,3,Invalid,**
100436,40015019,"Glockeria moralesii",Standl.,species,http://www.tropicos.org/Name/100436,,Glockeria,moralesii,sp.,,Magnoliidae,Acanthaceae,S,50039805,,"No opinion",
100438,40019687,"Habracanthus azureus","D.N. Gibson",species,http://www.tropicos.org/Name/100438,,Habracanthus,azureus,sp.,,Magnoliidae,Acanthaceae,S,50142783,,"No opinion",
100437,40015019,"Glockeria stricta",Leonard,species,http://www.tropicos.org/Name/100437,,Glockeria,stricta,sp.,,Magnoliidae,Acanthaceae,S,100477538,,"No opinion",
100439,40019687,"Habracanthus cuatrecasasii",Leonard,species,http://www.tropicos.org/Name/100439,,Habracanthus,cuatrecasasii,sp.,,Magnoliidae,Acanthaceae,S,100402346,,"No opinion",
100440,40019687,"Habracanthus cyaneus",Lindau,species,http://www.tropicos.org/Name/100440,,Habracanthus,cyaneus,sp.,,Magnoliidae,Acanthaceae,S,100402332,,"No opinion",
100441,40019687,"Habracanthus diversicolor",Lindau,species,http://www.tropicos.org/Name/100441,,Habracanthus,diversicolor,sp.,,Magnoliidae,Acanthaceae,S,100402325,,"No opinion",
100442,40019687,"Habracanthus enarthrocoma",Leonard,species,http://www.tropicos.org/Name/100442,,Habracanthus,enarthrocoma,sp.,,Magnoliidae,Acanthaceae,S,100402356,,"No opinion",
100443,40019687,"Habracanthus haematodes","(Schltdl.) Nees",species,http://www.tropicos.org/Name/100443,,Habracanthus,haematodes,sp.,,Magnoliidae,Acanthaceae,S,50196508,,"No opinion",
100444,40019687,"Habracanthus latilabris","D.N. Gibson",species,http://www.tropicos.org/Name/100444,,Habracanthus,latilabris,sp.,,Magnoliidae,Acanthaceae,S,50039800,,"No opinion",
100445,40019687,"Habracanthus macrochilus",Lindau,species,http://www.tropicos.org/Name/100445,,Habracanthus,macrochilus,sp.,,Magnoliidae,Acanthaceae,S,100402389,,"No opinion",
100446,40019687,"Habracanthus putumayensis",Leonard,species,http://www.tropicos.org/Name/100446,,Habracanthus,putumayensis,sp.,,Magnoliidae,Acanthaceae,S,100402394,,"No opinion",
100448,40019687,"Habracanthus ruberrimus","D.N. Gibson",species,http://www.tropicos.org/Name/100448,,Habracanthus,ruberrimus,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100447,40019687,"Habracanthus pyramidalis",Lindau,species,http://www.tropicos.org/Name/100447,,Habracanthus,pyramidalis,sp.,,Magnoliidae,Acanthaceae,S,50288003,,"No opinion",
100449,40019687,"Habracanthus sanguineus","Willd. ex Nees",species,http://www.tropicos.org/Name/100449,,Habracanthus,sanguineus,sp.,,Magnoliidae,Acanthaceae,S,50098555,,"No opinion",
100450,40019687,"Habracanthus sylvaticus",Nees,species,http://www.tropicos.org/Name/100450,,Habracanthus,sylvaticus,sp.,,Magnoliidae,Acanthaceae,,,3,Invalid,**
